State,StateID,ItemLabels,GenItemLabel,Classification,Date,Amount
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/04/2017,705.5555556
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/05/2017,699.4047619
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/06/2017,698.0902778
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/07/2017,689.307049
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/08/2017,566.3438462
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/09/2017,562.3019039
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/10/2017,548.2676225
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/11/2017,548.2676225
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/12/2017,575.8586481
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/01/2018,641.6666667
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/02/2018,588.6936764
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/03/2018,566.5756129
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/04/2018,578.2362676
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/05/2018,602.5806452
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/06/2018,661.4633558
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/07/2018,610.5449056
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/08/2018,578.6887694
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/09/2018,539.1308038
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/10/2018,522.2222222
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/11/2018,608.959276
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/12/2018,581.0457516
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/01/2019,540
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/02/2019,557.4216429
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/03/2019,540.8858543
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/04/2019,530.0137599
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/05/2019,510.5153333
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/06/2019,534.0511628
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/07/2019,516.4772727
Lagos,25,Broken Rice (Ofada),Ofada Rice,Food Item,01/08/2019,523.57
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/01/2017,998.8283333
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/02/2017,970
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/03/2017,950
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/04/2017,916.6666667
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/05/2017,1025
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/06/2017,1100
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/07/2017,1140
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/08/2017,1066.666667
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/09/2017,1067.2
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/10/2017,1000
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/11/2017,940
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/12/2017,1141.666667
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/01/2018,1141.666667
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/02/2018,925
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/03/2018,875.566
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/04/2018,792.8571429
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/05/2018,811.7984277
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/06/2018,875
Lagos,25,Chicken Feet,Chicken wings,Food Item,01/07/2018,1036.363636
